id,name,height_ft,height_cm,position,team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_fumbles,passing_first_down,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_first_downs,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_first_downs,total_yards,games,offense_snaps,ypg
208,Brycen Hopkins,"6'4""",76,TE,LA,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,78,0,0,3,78,4,51,19.5
211,Byron Pringle,"6'1""",73,WR,WAS,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,161,0,0,7,161,12,148,13.42
213,C.J. Beathard,"6'2""",74,QB,JAX,2023,40,53,349,1,0,6,0,19,8,35,0,1,2,0,0,0,0,0,0,384,6,105,64
219,C.J. Stroud,"6'3""",75,QB,HOU,2023,319,499,4108,23,5,38,6,188,39,157,3,2,17,1,1,0,0,0,0,4265,15,967,284.33
220,C.J. Uzomah,"6'0""",78,TE,NYJ,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,58,1,0,5,58,7,183,8.29
222,Cade Otton,"6'5""",77,TE,TB,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,47,67,455,4,1,22,455,16,1003,28.44
224,Calvin Austin,"5'9""",69,WR,PIT,2023,0,0,0,0,0,0,0,0,11,57,1,0,4,17,30,180,1,0,7,237,14,341,16.93
226,Calvin Ridley,"6'1""",73,WR,JAX,2023,0,0,0,0,0,0,0,0,9,23,0,0,3,76,136,1016,8,1,49,1039,17,993,61.12
227,Cam Akers,"5'10""",70,RB,MIN,2023,0,0,0,0,0,1,0,0,38,138,1,0,8,11,12,70,0,0,2,208,6,111,34.67
238,Carson Wentz,"6'5""",77,QB,LA,2023,17,24,163,2,1,2,0,11,17,56,1,0,4,0,0,0,0,0,0,219,1,67,219
239,Case Keenum,"6'1""",73,QB,HOU,2023,34,53,291,1,3,6,0,14,2,1,0,1,0,0,0,0,0,0,0,292,2,113,146
242,Cedric Tillman,"6'3""",75,WR,CLE,2023,0,0,0,0,0,0,0,0,1,8,0,0,0,21,44,224,0,0,12,232,11,578,21.09
