playerId,I_F_goals,I_F_primaryAssists,I_F_points,I_F_shotsOnGoal,faceoffsWon,penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,PC1,PC2,cluster,cluster_label
8476454,16.0,11.0,39.0,117.0,230.0,31.0,41.0,47.0,20.0,3.2314208756498437,-1.2903939590982916,2,Offensive All Star
8474037,8.0,7.0,21.0,95.0,7.0,26.0,16.0,23.0,9.0,0.4136033612400482,-0.496030306425851,1,Defensive Minded
8478491,0.0,0.0,0.0,4.0,0.0,6.0,7.0,1.0,4.0,-2.860403182104771,-0.32336015157584336,3,Support Player
8478042,12.0,12.0,27.0,171.0,22.0,22.0,22.0,19.0,28.0,2.060768793390555,-0.8274910127144824,2,Offensive All Star
8473512,23.0,14.0,42.0,149.0,410.0,26.0,66.0,40.0,26.0,4.444671240748994,-1.828988097923099,2,Offensive All Star
8482665,17.0,12.0,40.0,109.0,354.0,2.0,77.0,46.0,38.0,3.62813741928157,-2.064267469813433,2,Offensive All Star
8475200,4.0,5.0,21.0,104.0,0.0,18.0,120.0,24.0,38.0,1.0374816932026165,0.855631654032005,1,Defensive Minded
8481598,1.0,2.0,8.0,30.0,0.0,2.0,28.0,11.0,19.0,-1.6172146863160632,-0.4082402324962815,3,Support Player
8476897,6.0,5.0,18.0,48.0,21.0,26.0,59.0,13.0,17.0,-0.1902358242145625,0.2956494857614919,1,Defensive Minded
8479325,3.0,13.0,26.0,80.0,0.0,40.0,73.0,18.0,33.0,1.3702529051708086,0.7508776739903771,1,Defensive Minded
8481560,5.0,4.0,15.0,85.0,0.0,10.0,38.0,8.0,11.0,-0.7152010894889506,-0.3322215993387418,1,Defensive Minded
8478020,15.0,8.0,25.0,92.0,30.0,12.0,56.0,35.0,11.0,1.3393446482477358,-0.941074863626874,1,Defensive Minded
8482624,1.0,2.0,3.0,19.0,0.0,2.0,7.0,1.0,5.0,-2.4889600480905947,-0.5899542795848534,3,Support Player
8480049,2.0,1.0,6.0,46.0,0.0,25.0,85.0,17.0,29.0,-0.6654585003843965,1.0711381211155726,1,Defensive Minded
8475178,2.0,0.0,2.0,25.0,3.0,30.0,31.0,8.0,19.0,-1.5969541788769155,0.6901528915430137,3,Support Player
8474716,9.0,7.0,23.0,123.0,0.0,14.0,56.0,8.0,16.0,0.49144033004012516,-0.29032519327791684,1,Defensive Minded
8478078,0.0,0.0,0.0,6.0,16.0,0.0,10.0,1.0,0.0,-2.976791476618574,-0.5455272805549445,3,Support Player
8481641,6.0,0.0,7.0,68.0,2.0,38.0,112.0,22.0,13.0,-0.23817529574572335,1.576143946504862,0,Bruiser
8480776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.111467895843842,-0.6211535579482371,3,Support Player
8478396,5.0,10.0,24.0,129.0,0.0,27.0,68.0,30.0,43.0,1.9156996847261536,0.2677354200083762,1,Defensive Minded
8474031,3.0,7.0,18.0,106.0,0.0,44.0,77.0,30.0,29.0,1.1955125628347936,1.1056351973357286,0,Bruiser
8474610,2.0,1.0,4.0,17.0,22.0,2.0,15.0,2.0,0.0,-2.5044490273354003,-0.5912959039603906,3,Support Player
8478846,0.0,1.0,2.0,16.0,0.0,4.0,4.0,1.0,5.0,-2.6554139054148114,-0.47979903769143845,3,Support Player
8479981,3.0,1.0,7.0,32.0,1.0,57.0,92.0,10.0,13.0,-0.744545061963225,2.143807364389851,0,Bruiser
8482113,9.0,5.0,19.0,113.0,210.0,35.0,25.0,29.0,34.0,1.5731332344075473,-0.3842981541035055,1,Defensive Minded
8477392,10.0,6.0,18.0,60.0,2.0,10.0,45.0,16.0,12.0,-0.12586663371696913,-0.5849128152451194,1,Defensive Minded
8474162,0.0,1.0,1.0,7.0,0.0,2.0,10.0,2.0,5.0,-2.7324440288805385,-0.47014382533334714,3,Support Player
8483808,21.0,11.0,49.0,93.0,0.0,4.0,13.0,31.0,26.0,2.5254361467299837,-2.1355145313359922,2,Offensive All Star
8480355,7.0,2.0,11.0,70.0,275.0,62.0,151.0,17.0,13.0,0.868706871347313,2.1370030240861833,0,Bruiser
8478873,13.0,16.0,41.0,124.0,1.0,18.0,9.0,38.0,24.0,2.7246519155088564,-1.5986628471523725,2,Offensive All Star
8475166,16.0,11.0,37.0,160.0,508.0,30.0,106.0,41.0,43.0,4.510137960244087,-0.9486363929203514,2,Offensive All Star
8476468,12.0,14.0,32.0,118.0,311.0,48.0,188.0,46.0,29.0,4.100514926737654,1.0383575776677385,2,Offensive All Star
8477498,7.0,12.0,31.0,165.0,0.0,58.0,132.0,33.0,61.0,3.791096008744498,1.921453723818221,2,Offensive All Star
8480252,3.0,2.0,5.0,21.0,81.0,2.0,4.0,11.0,9.0,-1.8405712452214829,-0.9588666695242885,3,Support Player
8478427,22.0,13.0,37.0,147.0,362.0,40.0,47.0,43.0,42.0,4.616399137086145,-1.289830313368498,2,Offensive All Star
8479320,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,-3.070779145233778,-0.6035692056274718,3,Support Player
8478502,1.0,1.0,4.0,13.0,0.0,27.0,54.0,3.0,8.0,-1.9390962507545335,0.8278799573078427,3,Support Player
8480884,3.0,1.0,7.0,53.0,0.0,22.0,17.0,9.0,18.0,-1.2682216522287806,0.1168206307423975,3,Support Player
8480836,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,-3.066561253302994,-0.6048761691835957,3,Support Player
8481239,2.0,1.0,3.0,5.0,0.0,0.0,5.0,1.0,3.0,-2.686503859352271,-0.6903032969255337,3,Support Player
8482222,12.0,13.0,33.0,90.0,1.0,16.0,35.0,28.0,31.0,1.922883071683516,-0.9899833968067816,2,Offensive All Star
8478468,3.0,1.0,10.0,74.0,0.0,62.0,229.0,1.0,19.0,0.15709420379651914,4.026943486628616,0,Bruiser
8482448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.085843702278662,-0.6298566191847588,3,Support Player
8479546,1.0,0.0,1.0,5.0,0.0,0.0,3.0,1.0,1.0,-2.9263503705214258,-0.6339841585334786,3,Support Player
